GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
autentia,com.arobld00.autentia.domain.exceptions,PhoneAlreadyExistException,0,5,0,0,0,2,0,1,0,1
autentia,com.arobld00.autentia.domain.exceptions,NotFoundException,5,0,0,0,2,0,1,0,1,0
autentia,com.arobld00.autentia.domain.exceptions,BalanceCalculationException,5,0,0,0,2,0,1,0,1,0
autentia,com.arobld00.autentia.rest.dtos.validations,BigDecimalPositiveValidator,14,0,4,0,3,0,5,0,3,0
autentia,com.arobld00.autentia.domain,Friend,46,18,8,0,10,8,11,4,7,4
autentia,com.arobld00.autentia.domain,Payment,75,0,8,0,20,0,18,0,14,0
autentia,com.arobld00.autentia.domain,Debt,29,0,0,0,9,0,5,0,5,0
autentia,com.arobld00.autentia.domain,Balance,145,0,10,0,34,0,10,0,5,0
autentia,com.arobld00.autentia.rest.dtos,PaymentDto,84,0,0,0,29,0,14,0,14,0
autentia,com.arobld00.autentia.rest.dtos,DebtOutputDto,47,0,0,0,17,0,9,0,9,0
autentia,com.arobld00.autentia.rest.dtos,BalanceInputDto,16,0,0,0,7,0,4,0,4,0
autentia,com.arobld00.autentia.rest.dtos,FriendDto,54,23,8,0,15,7,11,4,7,4
autentia,com.arobld00.autentia.repositories.mongodb,PaymentEntity,90,0,8,0,24,0,19,0,15,0
autentia,com.arobld00.autentia.repositories.mongodb,FriendPersistenceMongodb,60,0,0,0,20,0,7,0,7,0
autentia,com.arobld00.autentia.repositories.mongodb,PaymentEntity.Builder,37,0,0,0,12,0,5,0,5,0
autentia,com.arobld00.autentia.repositories.mongodb,PaymentPersistenceMongodb,66,0,4,0,16,0,6,0,4,0
autentia,com.arobld00.autentia.repositories.mongodb,FriendEntity,79,0,8,0,23,0,16,0,12,0
autentia,com.arobld00.autentia.data_services.impl,FriendServiceImpl,15,0,0,0,5,0,3,0,3,0
autentia,com.arobld00.autentia.data_services.impl,DatabaseSeederService,173,0,0,0,26,0,5,0,5,0
autentia,com.arobld00.autentia.data_services.impl,PaymentServiceImpl,15,0,0,0,5,0,3,0,3,0
autentia,com.arobld00.autentia.data_services.impl,BalanceServiceImpl,45,0,2,0,11,0,3,0,2,0
autentia,com.arobld00.autentia.rest,FriendResource,12,16,0,0,2,6,1,2,1,2
autentia,com.arobld00.autentia.rest,PaymentResource,28,0,0,0,9,0,3,0,3,0
autentia,com.arobld00.autentia.rest,BalanceResource,11,0,0,0,4,0,2,0,2,0
autentia,com.arobld00.autentia.rest.exceptions,ApiExceptionHandler,31,0,0,0,5,0,5,0,5,0
autentia,com.arobld00.autentia.rest.exceptions,ErrorMessage,32,0,0,0,9,0,5,0,5,0
autentia,com.arobld00.autentia,Application,17,0,0,0,4,0,3,0,3,0
autentia,com.arobld00.autentia,WebMvcConfig,24,0,0,0,3,0,2,0,2,0
